epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
65,1393.66,0.61441,0.4571,1.00552,0.97709,0.97537,0.97763,0.91033,0.41117,0.29788,0.88489,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
66,1414.27,0.60775,0.45275,0.99456,0.97075,0.97332,0.97557,0.90447,0.39994,0.31036,0.87363,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855,0.023565,0.007855
67,1435.03,0.60478,0.45234,1.00086,0.97657,0.97332,0.97999,0.91185,0.40461,0.30737,0.88297,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,1455.83,0.61018,0.45579,1.00117,0.97106,0.98045,0.98136,0.91051,0.41407,0.29993,0.88746,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,1476.71,0.60193,0.45272,0.99747,0.96386,0.97967,0.98006,0.90759,0.43227,0.31254,0.91716,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,1497.53,0.60371,0.45261,0.99619,0.97593,0.97898,0.97986,0.9113,0.40931,0.29254,0.88682,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,1518.34,0.60766,0.44755,1.00185,0.97784,0.97967,0.98171,0.9092,0.40458,0.28538,0.88451,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,1539,0.59382,0.44733,0.99535,0.97565,0.98475,0.98287,0.91803,0.428,0.29296,0.89457,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,1559.97,0.60295,0.45347,1.00348,0.97233,0.98223,0.98064,0.91278,0.40484,0.28749,0.87496,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,1580.83,0.5971,0.44585,0.9903,0.97352,0.98101,0.98284,0.91631,0.39641,0.28688,0.87412,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,1601.68,0.59558,0.44529,0.9946,0.9827,0.97586,0.98387,0.91867,0.40437,0.28486,0.87236,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,1622.58,0.59684,0.44666,0.99309,0.98086,0.97662,0.9829,0.9175,0.40614,0.28449,0.87933,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,1643.32,0.58899,0.44109,0.99988,0.97229,0.98092,0.97932,0.91169,0.39555,0.28804,0.8721,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,1664.21,0.59425,0.43911,0.99401,0.97719,0.9798,0.98056,0.9162,0.3965,0.28416,0.8743,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,1684.99,0.58868,0.44094,0.99353,0.97406,0.97967,0.97976,0.91277,0.41116,0.28375,0.88566,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1705.73,0.59507,0.43802,0.99882,0.97963,0.97775,0.9809,0.91978,0.39425,0.27576,0.887,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,1726.67,0.59173,0.43778,0.99468,0.976,0.98165,0.97993,0.91227,0.39393,0.2799,0.87595,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,1747.31,0.58825,0.43838,0.99758,0.97653,0.98094,0.98275,0.92155,0.39791,0.27879,0.8928,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,1768.08,0.59709,0.43667,0.99253,0.97667,0.98094,0.98164,0.91738,0.39753,0.27891,0.87449,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,1788.81,0.59133,0.44032,0.99674,0.96998,0.98531,0.98187,0.91674,0.40033,0.28049,0.88632,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,1809.57,0.58462,0.43521,0.99141,0.97479,0.98348,0.98004,0.91503,0.4013,0.2818,0.88048,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,1830.45,0.58019,0.42646,0.98815,0.97233,0.98221,0.98196,0.91875,0.38248,0.2765,0.86881,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,1851.21,0.57794,0.42749,0.98777,0.97599,0.98142,0.98234,0.92415,0.38715,0.27649,0.87336,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,1871.79,0.57791,0.43007,0.98865,0.97239,0.98454,0.9827,0.92243,0.38109,0.26952,0.87474,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,1892.57,0.57956,0.42869,0.99192,0.97697,0.98475,0.98514,0.93377,0.37861,0.26902,0.86726,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,1913.38,0.58457,0.42729,0.99416,0.9828,0.9784,0.98367,0.92257,0.38742,0.2735,0.87243,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
